first_seed,second_seed,spearman_rank_correlation,cosine_similarity,top_5_jaccard,top_10_jaccard
7,21,0.5049019607843138,0.9990716863700166,0.25,0.6666666666666666
7,42,0.28921568627450983,0.9715024288455701,0.25,0.5384615384615384
7,84,-0.3651960784313726,0.9978139179704028,0.1111111111111111,0.25
7,123,0.09313725490196079,0.9991347577142052,0.1111111111111111,0.3333333333333333
21,42,0.22794117647058826,0.973930288711326,0.42857142857142855,0.3333333333333333
21,84,0.07843137254901962,0.9986730976361716,0.25,0.42857142857142855
21,123,0.16666666666666669,0.9998065409797341,0.25,0.42857142857142855
42,84,-0.03186274509803922,0.9710051916503397,0.1111111111111111,0.3333333333333333
42,123,-0.08088235294117649,0.9705985658577572,0.1111111111111111,0.42857142857142855
84,123,0.6225490196078433,0.9986899018384578,0.42857142857142855,0.6666666666666666
